bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Anchieta,RUA HURON,"RUA HURON, Anchieta, Rio de Janeiro, RJ, Brasil",-22.818835,-43.3991335,ok
Anchieta,RUA ITAJOBI,"RUA ITAJOBI, Anchieta, Rio de Janeiro, RJ, Brasil",-22.8261564,-43.4170948,ok
Anchieta,RUA ITATIBA,"RUA ITATIBA, Anchieta, Rio de Janeiro, RJ, Brasil",-22.8154879,-43.3949862,ok
Anchieta,RUA JOSE MARCELINO VASCONCELOS,"RUA JOSE MARCELINO VASCONCELOS, Anchieta, Rio de Janeiro, RJ, Brasil",-22.8187417,-43.3869551,ok
Anchieta,RUA JUARANA,"RUA JUARANA, Anchieta, Rio de Janeiro, RJ, Brasil",-22.8260095,-43.4132977,ok
Anchieta,RUA LEOPOLDINA BORGES,"RUA LEOPOLDINA BORGES, Anchieta, Rio de Janeiro, RJ, Brasil",-22.822511,-43.4130279,ok
Anchieta,RUA MOTOR LUIS ABREU,"RUA MOTOR LUIS ABREU, Anchieta, Rio de Janeiro, RJ, Brasil",,,não encontrado
Anchieta,RUA NAGOIA,"RUA NAGOIA, Anchieta, Rio de Janeiro, RJ, Brasil",-22.821389,-43.3853695,ok
Anchieta,RUA PADRE MARIO VERSE,"RUA PADRE MARIO VERSE, Anchieta, Rio de Janeiro, RJ, Brasil",-22.8243001,-43.3979078,ok
Anchieta,RUA QUEBEC,"RUA QUEBEC, Anchieta, Rio de Janeiro, RJ, Brasil",-22.8254415,-43.4040927,ok
Andaraí,RUA AGENOR MOREIRA,"RUA AGENOR MOREIRA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9248007,-43.2485641,ok
Andaraí,RUA AGOSTINHO MENEZES,"RUA AGOSTINHO MENEZES, Andaraí, Rio de Janeiro, RJ, Brasil",-22.922165,-43.2424089,ok
Andaraí,RUA AMARAL,"RUA AMARAL, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9229589,-43.2443962,ok
Andaraí,RUA BARAO DE ITAIPU,"RUA BARAO DE ITAIPU, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9244919,-43.2476156,ok
Andaraí,RUA BARAO DE MESQUITA,"RUA BARAO DE MESQUITA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9248067,-43.2510066,ok
Andaraí,RUA BARAO DE SAO FRANCISCO,"RUA BARAO DE SAO FRANCISCO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9190379,-43.2509005,ok
Andaraí,RUA BARAO DE VASSOURAS,"RUA BARAO DE VASSOURAS, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9213215,-43.2492854,ok
Andaraí,RUA CARENA,"RUA CARENA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9235473,-43.2525504,ok
Andaraí,RUA CARVALHO ALVIM,"RUA CARVALHO ALVIM, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9282484,-43.2460583,ok
Andaraí,RUA DONA AMELIA,"RUA DONA AMELIA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9287037,-43.2536863,ok
Andaraí,RUA DONA FLORINDA,"RUA DONA FLORINDA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9293289,-43.2488608,ok
Andaraí,RUA DOUTOR AQUINO,"RUA DOUTOR AQUINO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9245049,-43.2502952,ok
Andaraí,RUA ERNESTO DE SOUZA,"RUA ERNESTO DE SOUZA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.926962,-43.2493942,ok
Andaraí,RUA FERREIRA PONTES,"RUA FERREIRA PONTES, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9291914,-43.2565643,ok
Andaraí,RUA GASTAO PENALVA,"RUA GASTAO PENALVA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9272184,-43.2516735,ok
Andaraí,RUA GOIANIA,"RUA GOIANIA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9218247,-43.243323,ok
Andaraí,RUA GOMES BRAGA,"RUA GOMES BRAGA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9242478,-43.2508699,ok
Andaraí,RUA JUPARANA,"RUA JUPARANA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9211944,-43.2475635,ok
Andaraí,RUA LADISLAU NETO,"RUA LADISLAU NETO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9235251,-43.2454845,ok
Andaraí,RUA LEOPOLDO,"RUA LEOPOLDO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9298013,-43.2534145,ok
Andaraí,RUA MARIA AMALIA,"RUA MARIA AMALIA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.929558,-43.2456449,ok
Andaraí,RUA MAXWELL,"RUA MAXWELL, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9236078,-43.2504504,ok
Andaraí,RUA NICOLAU MOREIRA,"RUA NICOLAU MOREIRA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9288718,-43.2493238,ok
Andaraí,RUA PAULA BRITO,"RUA PAULA BRITO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9284583,-43.2546247,ok
Andaraí,RUA PONTES CORREA,"RUA PONTES CORREA, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9234309,-43.2452342,ok
Andaraí,RUA SANTA MARIA ROSSELLO,"RUA SANTA MARIA ROSSELLO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9273866,-43.2451934,ok
Andaraí,RUA SANTO AGOSTINHO,"RUA SANTO AGOSTINHO, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9330039,-43.261011,ok
Andaraí,RUA SILVA TELES,"RUA SILVA TELES, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9225043,-43.2434238,ok
Andaraí,RUA SOUZA CRUZ,"RUA SOUZA CRUZ, Andaraí, Rio de Janeiro, RJ, Brasil",-22.9273738,-43.2487233,ok
