bairro,logradouro,endereco_mapa,latitude,longitude,status_geocodificacao
Campo Grande,RUA PARDAL,"RUA PARDAL, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8961643,-43.5676433,ok
Campo Grande,RUA PATRICIO TEIXEIRA,"RUA PATRICIO TEIXEIRA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8880003,-43.5740329,ok
Campo Grande,RUA PAULO BRAME,"RUA PAULO BRAME, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA PAULO MAIA,"RUA PAULO MAIA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.873497,-43.5661796,ok
Campo Grande,RUA PAULO PONTES,"RUA PAULO PONTES, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9158979,-43.5490433,ok
Campo Grande,RUA PEDRO CORBECEIRI,"RUA PEDRO CORBECEIRI, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA PEDRO LEAO VELOSO,"RUA PEDRO LEAO VELOSO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9110944,-43.5778933,ok
Campo Grande,RUA PEDRO MOTA LIMA,"RUA PEDRO MOTA LIMA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.917028,-43.5813075,ok
Campo Grande,RUA PEROPABA,"RUA PEROPABA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9211175,-43.564942,ok
Campo Grande,RUA PONCHE VERDE,"RUA PONCHE VERDE, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.902954,-43.573328,ok
Campo Grande,RUA PONTA DA AREIA,"RUA PONTA DA AREIA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8869176,-43.5508108,ok
Campo Grande,RUA PORTO AMAZONAS,"RUA PORTO AMAZONAS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8825362,-43.558719,ok
Campo Grande,RUA POUSO ALEGRE,"RUA POUSO ALEGRE, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8923782,-43.5572963,ok
Campo Grande,RUA PROF CASTILHO,"RUA PROF CASTILHO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA PROF GONCALVES,"RUA PROF GONCALVES, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9100833,-43.5653309,ok
Campo Grande,RUA PROF JOSE RUIVO,"RUA PROF JOSE RUIVO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8802704,-43.5686955,ok
Campo Grande,RUA PROF RAMIRO DE MATOS,"RUA PROF RAMIRO DE MATOS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9077747,-43.5795667,ok
Campo Grande,RUA RECANTO DO AMOR,"RUA RECANTO DO AMOR, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8851748,-43.6012151,ok
Campo Grande,RUA RENATO GABIZO,"RUA RENATO GABIZO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8767594,-43.592245,ok
Campo Grande,RUA REVER PORTO FILHO,"RUA REVER PORTO FILHO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA RIO BONITO,"RUA RIO BONITO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9005245,-43.5684532,ok
Campo Grande,RUA RIO DE CONTAS,"RUA RIO DE CONTAS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8693403,-43.5667616,ok
Campo Grande,RUA RITA LUIZA DA CONCEICAO,"RUA RITA LUIZA DA CONCEICAO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8794568,-43.5347352,ok
Campo Grande,RUA ROBERTO MARON,"RUA ROBERTO MARON, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA RODOLFO GARCIA,"RUA RODOLFO GARCIA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8920219,-43.5785451,ok
Campo Grande,RUA RODRIGO ULYSSES DE CARVALHO,"RUA RODRIGO ULYSSES DE CARVALHO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8844048,-43.5452989,ok
Campo Grande,RUA RODRIGUES CAMPELO,"RUA RODRIGUES CAMPELO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9191394,-43.5370945,ok
Campo Grande,RUA ROGERIO COELHO NETO,"RUA ROGERIO COELHO NETO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8827213,-43.5415524,ok
Campo Grande,RUA ROSADA,"RUA ROSADA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9429195,-43.572586,ok
Campo Grande,RUA ROSINHA DE VALENCA,"RUA ROSINHA DE VALENCA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA ROTARI,"RUA ROTARI, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9150781,-43.5327263,ok
Campo Grande,RUA RUBENS FIRMO SANTOS,"RUA RUBENS FIRMO SANTOS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8702007,-43.5667343,ok
Campo Grande,RUA SACRAMENTO BLAKE,"RUA SACRAMENTO BLAKE, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SALOMAO JOSE AUDI,"RUA SALOMAO JOSE AUDI, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8956286,-43.5651384,ok
Campo Grande,RUA SAN MARINO,"RUA SAN MARINO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9182455,-43.5526529,ok
Campo Grande,RUA SANTA BRANCA,"RUA SANTA BRANCA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.897489,-43.5553217,ok
Campo Grande,RUA SANTA FLORA,"RUA SANTA FLORA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8830532,-43.5594107,ok
Campo Grande,RUA SANTIAGO ILIDIO ANDRADE(REPOR),"RUA SANTIAGO ILIDIO ANDRADE(REPOR), Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SANTO AMANDO,"RUA SANTO AMANDO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.904767,-43.5498856,ok
Campo Grande,RUA SANTO IRINEU,"RUA SANTO IRINEU, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8915014,-43.5740514,ok
Campo Grande,RUA SAO BENTO DO SUL,"RUA SAO BENTO DO SUL, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8711842,-43.5501499,ok
Campo Grande,RUA SAO DAMASO,"RUA SAO DAMASO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8930103,-43.5660928,ok
Campo Grande,RUA SAO GUIDO,"RUA SAO GUIDO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8636105,-43.5497946,ok
Campo Grande,RUA SAO JACINTO,"RUA SAO JACINTO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8938196,-43.5807089,ok
Campo Grande,RUA SAO PAULO DE OLIVENCA,"RUA SAO PAULO DE OLIVENCA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9122697,-43.5399379,ok
Campo Grande,RUA SARG ARGOLO SACRAMENTO,"RUA SARG ARGOLO SACRAMENTO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9330098,-43.5593756,ok
Campo Grande,RUA SARG MOACYR DOS ANJOS,"RUA SARG MOACYR DOS ANJOS, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SEBASTIAO SANT'ANA,"RUA SEBASTIAO SANT'ANA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.89707,-43.552454,ok
Campo Grande,RUA SEBASTIAO SEVERINO DA SILVA,"RUA SEBASTIAO SEVERINO DA SILVA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8808252,-43.5392456,ok
Campo Grande,RUA SENAD GILBERTO MARINHO,"RUA SENAD GILBERTO MARINHO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SERRARIA,"RUA SERRARIA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.897236,-43.5808411,ok
Campo Grande,RUA SEVERINO DA SILVA,"RUA SEVERINO DA SILVA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8736606,-43.5745041,ok
Campo Grande,RUA SEVERINO FERREIRA DA COSTA,"RUA SEVERINO FERREIRA DA COSTA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9219214,-43.5471909,ok
Campo Grande,RUA SILVIO BARBATO (MAESTRO),"RUA SILVIO BARBATO (MAESTRO), Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD FRANCISCO DOS SANTOS,"RUA SOLD FRANCISCO DOS SANTOS, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD FRANCISCO SAVASTANA,"RUA SOLD FRANCISCO SAVASTANA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD GAMA LOPES,"RUA SOLD GAMA LOPES, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD GERHARDT HOLTZ,"RUA SOLD GERHARDT HOLTZ, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD HIVIL MILIATO,"RUA SOLD HIVIL MILIATO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD JOSE DE SOUZA,"RUA SOLD JOSE DE SOUZA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD LINDO SARDAGNA,"RUA SOLD LINDO SARDAGNA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SOLD RAFAEL BUZARELO,"RUA SOLD RAFAEL BUZARELO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SONIA MENDONCA FERREIRA,"RUA SONIA MENDONCA FERREIRA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8772053,-43.56512,ok
Campo Grande,RUA SPINOZA,"RUA SPINOZA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9110011,-43.5793804,ok
Campo Grande,RUA SUDA STELARO,"RUA SUDA STELARO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8690583,-43.547509,ok
Campo Grande,RUA SURUCUA,"RUA SURUCUA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8768682,-43.5915038,ok
Campo Grande,RUA SYLVIA ZENOBIO DE ASSUMPCAO,"RUA SYLVIA ZENOBIO DE ASSUMPCAO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA SYLVIO MAGALHAES LUSTOSA,"RUA SYLVIO MAGALHAES LUSTOSA, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.910909,-43.5339287,ok
Campo Grande,RUA TABAI,"RUA TABAI, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8998844,-43.5757359,ok
Campo Grande,RUA TARSILA DO AMARAL,"RUA TARSILA DO AMARAL, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA TEIXEIRA ARAGAO,"RUA TEIXEIRA ARAGAO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9088811,-43.5692643,ok
Campo Grande,RUA TENDI,"RUA TENDI, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9085172,-43.5607524,ok
Campo Grande,RUA THIAGO PONTES,"RUA THIAGO PONTES, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8752911,-43.5927757,ok
Campo Grande,RUA TONINHO BAIANO (JOG FUTEBOL),"RUA TONINHO BAIANO (JOG FUTEBOL), Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA TORQUATO DE ARAUJO NETO,"RUA TORQUATO DE ARAUJO NETO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8756885,-43.5929589,ok
Campo Grande,RUA TTE JOSE HERCULINO,"RUA TTE JOSE HERCULINO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA TTE XAVIER,"RUA TTE XAVIER, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA TUPACERETA,"RUA TUPACERETA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA VALE DOS RIOS,"RUA VALE DOS RIOS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8979075,-43.5675438,ok
Campo Grande,RUA VANJA ORICO (ATRIZ),"RUA VANJA ORICO (ATRIZ), Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA VARZEA ALEGRE,"RUA VARZEA ALEGRE, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8973093,-43.5790686,ok
Campo Grande,RUA VASCONCELLOS TORRES,"RUA VASCONCELLOS TORRES, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.878546,-43.5939465,ok
Campo Grande,RUA VESPASIANO,"RUA VESPASIANO, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9180999,-43.5677371,ok
Campo Grande,RUA VICENTE FRANCISCO DOS SANTOS,"RUA VICENTE FRANCISCO DOS SANTOS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8769605,-43.5703903,ok
Campo Grande,RUA VILA EMA,"RUA VILA EMA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA VINA DEL MAR,"RUA VINA DEL MAR, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8818888,-43.5898298,ok
Campo Grande,RUA VIRGILIO BRIGIDO,"RUA VIRGILIO BRIGIDO, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA VITOR ALVES,"RUA VITOR ALVES, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8873866,-43.5674447,ok
Campo Grande,RUA VIUVA DANTAS,"RUA VIUVA DANTAS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9026271,-43.5539142,ok
Campo Grande,RUA WILMAR JORGE,"RUA WILMAR JORGE, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8819811,-43.5413381,ok
Campo Grande,RUA YARA VARGAS,"RUA YARA VARGAS, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA ZEZE GONZAGA,"RUA ZEZE GONZAGA, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo Grande,RUA ZOZA MEDICIS,"RUA ZOZA MEDICIS, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8782696,-43.5914316,ok
Campo Grande,RUA ZUZU ANGEL,"RUA ZUZU ANGEL, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.8763323,-43.5607881,ok
Campo Grande,TRV CAETITE,"TRV CAETITE, Campo Grande, Rio de Janeiro, RJ, Brasil",-22.9065181,-43.5583515,ok
Campo Grande,VIA I PAA 12781/PAL 49975,"VIA I PAA 12781/PAL 49975, Campo Grande, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo dos Afonsos,AVN MAL FONTENELLE,"AVN MAL FONTENELLE, Campo dos Afonsos, Rio de Janeiro, RJ, Brasil",,,não encontrado
Campo dos Afonsos,RUA JOSE SARDINHA,"RUA JOSE SARDINHA, Campo dos Afonsos, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,AVN DOM HELDER CAMARA,"AVN DOM HELDER CAMARA, Cascadura, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,AVN ERNANI CARDOSO,"AVN ERNANI CARDOSO, Cascadura, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,RUA ALBERTO MENDES JUNIOR,"RUA ALBERTO MENDES JUNIOR, Cascadura, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,RUA BARAO DE BANANAL,"RUA BARAO DE BANANAL, Cascadura, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,RUA BARBOSA,"RUA BARBOSA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8787538,-43.3241477,ok
Cascadura,RUA BORNEO,"RUA BORNEO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8789683,-43.3280275,ok
Cascadura,RUA BRASILINA,"RUA BRASILINA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8802792,-43.3248968,ok
Cascadura,RUA CAETANO DA SILVA,"RUA CAETANO DA SILVA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8802361,-43.32049,ok
Cascadura,RUA CARLOS ARLINDO,"RUA CARLOS ARLINDO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8854182,-43.3239973,ok
Cascadura,RUA CAROLINA MACHADO,"RUA CAROLINA MACHADO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8812553,-43.3295186,ok
Cascadura,RUA CEL MAGALHAES,"RUA CEL MAGALHAES, Cascadura, Rio de Janeiro, RJ, Brasil",-22.880527,-43.3278286,ok
Cascadura,RUA CERQUEIRA DALTRO,"RUA CERQUEIRA DALTRO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8783993,-43.3206018,ok
Cascadura,RUA DA PEDREIRA,"RUA DA PEDREIRA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8831605,-43.3253979,ok
Cascadura,RUA DO AMPARO,"RUA DO AMPARO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8793824,-43.3187673,ok
Cascadura,RUA FELICIO,"RUA FELICIO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.880637,-43.3186829,ok
Cascadura,RUA FLORENTINA,"RUA FLORENTINA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8786889,-43.3232924,ok
Cascadura,RUA IGUAPE,"RUA IGUAPE, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8822446,-43.326234,ok
Cascadura,RUA ITUNA,"RUA ITUNA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8891748,-43.3313343,ok
Cascadura,RUA JOAO ROMEIRO,"RUA JOAO ROMEIRO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8841014,-43.3347786,ok
Cascadura,RUA LUIS DELFINO,"RUA LUIS DELFINO, Cascadura, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,RUA NERVAL DE GOUVEA,"RUA NERVAL DE GOUVEA, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8832583,-43.3278451,ok
Cascadura,RUA NILTON DE OLIVEIRA,"RUA NILTON DE OLIVEIRA, Cascadura, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cascadura,RUA PADRE TELEMACO,"RUA PADRE TELEMACO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8821578,-43.3321574,ok
Cascadura,RUA PALATINADO,"RUA PALATINADO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8851512,-43.3221539,ok
Cascadura,RUA SIDONIO PAES,"RUA SIDONIO PAES, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8774764,-43.3254187,ok
Cascadura,RUA SILVA GOMES,"RUA SILVA GOMES, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8813561,-43.3276113,ok
Cascadura,RUA SOUTO,"RUA SOUTO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8874041,-43.3265848,ok
Cascadura,RUA VALERIO,"RUA VALERIO, Cascadura, Rio de Janeiro, RJ, Brasil",-22.878788,-43.3171649,ok
Cascadura,TRV DOS CARDOSOS,"TRV DOS CARDOSOS, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8803735,-43.322214,ok
Cascadura,TRV PALMITAL,"TRV PALMITAL, Cascadura, Rio de Janeiro, RJ, Brasil",-22.8813001,-43.3226625,ok
Catete,LRG DO MACHADO,"LRG DO MACHADO, Catete, Rio de Janeiro, RJ, Brasil",,,não encontrado
Catete,RUA ANDRADE PERTENCE,"RUA ANDRADE PERTENCE, Catete, Rio de Janeiro, RJ, Brasil",-22.9249294,-43.1776995,ok
Catete,RUA ARTUR BERNARDES,"RUA ARTUR BERNARDES, Catete, Rio de Janeiro, RJ, Brasil",-22.9285547,-43.1782699,ok
Catete,RUA BENTO LISBOA,"RUA BENTO LISBOA, Catete, Rio de Janeiro, RJ, Brasil",-22.9299382,-43.1794591,ok
Catete,RUA CORREA DUTRA,"RUA CORREA DUTRA, Catete, Rio de Janeiro, RJ, Brasil",-22.9274319,-43.1772416,ok
Catete,RUA DO CATETE,"RUA DO CATETE, Catete, Rio de Janeiro, RJ, Brasil",-22.9279273,-43.1769248,ok
Catete,RUA DOIS DE DEZEMBRO,"RUA DOIS DE DEZEMBRO, Catete, Rio de Janeiro, RJ, Brasil",-22.9293521,-43.1788659,ok
Catete,RUA MINIST TAVARES DE LYRA,"RUA MINIST TAVARES DE LYRA, Catete, Rio de Janeiro, RJ, Brasil",,,não encontrado
Catete,RUA PEDRO AMERICO,"RUA PEDRO AMERICO, Catete, Rio de Janeiro, RJ, Brasil",-22.9243884,-43.1830468,ok
Catete,RUA SILVEIRA MARTINS,"RUA SILVEIRA MARTINS, Catete, Rio de Janeiro, RJ, Brasil",-22.9258604,-43.1779724,ok
Catete,RUA TAVARES BASTOS,"RUA TAVARES BASTOS, Catete, Rio de Janeiro, RJ, Brasil",-22.9284881,-43.1818393,ok
Catete,TRV ALMTE PROTOGENES GUIMARAES,"TRV ALMTE PROTOGENES GUIMARAES, Catete, Rio de Janeiro, RJ, Brasil",,,não encontrado
Catete,TRV CARLOS DE SA,"TRV CARLOS DE SA, Catete, Rio de Janeiro, RJ, Brasil",-22.9251822,-43.1785891,ok
Catumbi,PRC RADIALISTA MANOEL DE NOBREGA,"PRC RADIALISTA MANOEL DE NOBREGA, Catumbi, Rio de Janeiro, RJ, Brasil",,,não encontrado
Catumbi,RUA CHICHORRO,"RUA CHICHORRO, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9170323,-43.1957087,ok
Catumbi,RUA DO CATUMBI,"RUA DO CATUMBI, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9156828,-43.195686,ok
Catumbi,RUA DOUTOR AGRA,"RUA DOUTOR AGRA, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9202054,-43.1954427,ok
Catumbi,RUA DOUTOR LAGDEN,"RUA DOUTOR LAGDEN, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9146342,-43.1950514,ok
Catumbi,RUA GILDA DE ABREU,"RUA GILDA DE ABREU, Catumbi, Rio de Janeiro, RJ, Brasil",-22.919276,-43.1953149,ok
Catumbi,RUA ITAPIRU,"RUA ITAPIRU, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9192054,-43.1957827,ok
Catumbi,RUA JOSE BERNARDINO,"RUA JOSE BERNARDINO, Catumbi, Rio de Janeiro, RJ, Brasil",-22.914777,-43.1955818,ok
Catumbi,RUA NAVARRO,"RUA NAVARRO, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9234286,-43.1964083,ok
Catumbi,RUA QUEIROS LIMA,"RUA QUEIROS LIMA, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9231072,-43.1962514,ok
Catumbi,RUA VALENCA,"RUA VALENCA, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9154783,-43.1953193,ok
Catumbi,TRV MARIETA,"TRV MARIETA, Catumbi, Rio de Janeiro, RJ, Brasil",-22.9208527,-43.1948563,ok
Cavalcanti,RUA ALMEIDA REIS,"RUA ALMEIDA REIS, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8691614,-43.3156159,ok
Cavalcanti,RUA AMALIA,"RUA AMALIA, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8802838,-43.3150749,ok
Cavalcanti,RUA ANTONIO SARAIVA,"RUA ANTONIO SARAIVA, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.870913,-43.3171296,ok
Cavalcanti,RUA AUGUSTO FRANCO,"RUA AUGUSTO FRANCO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8774703,-43.3142159,ok
Cavalcanti,RUA BARAO DE BANANAL,"RUA BARAO DE BANANAL, Cavalcanti, Rio de Janeiro, RJ, Brasil",,,não encontrado
Cavalcanti,RUA BARBOSA RODRIGUES,"RUA BARBOSA RODRIGUES, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8743843,-43.3178999,ok
Cavalcanti,RUA ENALDO DOS SANTOS ARAUJO,"RUA ENALDO DOS SANTOS ARAUJO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8760713,-43.3181955,ok
Cavalcanti,RUA GRACA MELO,"RUA GRACA MELO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8754515,-43.3140986,ok
Cavalcanti,RUA JOAQUIM NORBERTO,"RUA JOAQUIM NORBERTO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.869521,-43.3136546,ok
Cavalcanti,RUA LAURINDO FILHO,"RUA LAURINDO FILHO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8691475,-43.3186826,ok
Cavalcanti,RUA MUCIO TEIXEIRA,"RUA MUCIO TEIXEIRA, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8758645,-43.3137061,ok
Cavalcanti,RUA PAULO EIRO,"RUA PAULO EIRO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8727075,-43.3103481,ok
Cavalcanti,RUA QUINTAO,"RUA QUINTAO, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8774903,-43.3132344,ok
Cavalcanti,RUA SILVA VALE,"RUA SILVA VALE, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8696805,-43.310225,ok
Cavalcanti,RUA TUMUCUMAQUE,"RUA TUMUCUMAQUE, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8691764,-43.3128299,ok
Cavalcanti,RUA ZEFERINO DA COSTA,"RUA ZEFERINO DA COSTA, Cavalcanti, Rio de Janeiro, RJ, Brasil",-22.8721216,-43.316593,ok
Centro,AVN ALMTE BARROSO,"AVN ALMTE BARROSO, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN BEIRA MAR,"AVN BEIRA MAR, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN CALOGERAS,"AVN CALOGERAS, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN CHURCHILL,"AVN CHURCHILL, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN ERASMO BRAGA,"AVN ERASMO BRAGA, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN FRANKLIN ROOSEVELT,"AVN FRANKLIN ROOSEVELT, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN GOMES FREIRE,"AVN GOMES FREIRE, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN GRACA ARANHA,"AVN GRACA ARANHA, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN HENRIQUE VALADARES,"AVN HENRIQUE VALADARES, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN MAL CAMARA,"AVN MAL CAMARA, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN MAL FLORIANO,"AVN MAL FLORIANO, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN MEM DE SA,"AVN MEM DE SA, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
Centro,AVN N/S DE FATIMA,"AVN N/S DE FATIMA, Centro, Rio de Janeiro, RJ, Brasil",,,não encontrado
